,Word,Translation,Part_of_Speech
1040,violence,violência,noun
1041,total,total,adjective
1042,to tend,tender,verb
1043,investment,investimento,noun
1044,discussion,discussão,noun
1045,finger,dedo,noun
1046,garden,jardim,noun
1047,to notice,"perceber, notar, ver, observar",verb
1048,collection,coleção,noun
1049,modern,moderno,adjective
1050,task,tarefa,noun
1051,partner,"parceiro, sócio",noun
1052,positive,positivo,adjective
1053,civil,civil,adjective
1054,kitchen,cosinha,noun
1055,consumer,"consumidor, freguês",noun
1056,shot,"tiro, chute, dose",noun
1057,budget,orçamento,noun
1058,to wish,"desejar, esperar ",verb
1059,painting,quadro,noun
1060,scientist,cientista,noun
1061,safe,seguro,adjective
1062,agreement,acordo,noun
1063,capital,capital,noun
1064,mouth,boca,noun
1065,nor,nem,conjunction
1066,victim,vítima,noun
1067,newspaper,jornal,noun
1068,instead,em vez de,preposition
1069,threat,ameaça,noun
1070,responsibility,responsibilidade,noun
1071,to smile,sorrir,verb
1072,attorney,advogado,noun
1073,score,"ponto, contagem",noun
1074,account,conta,noun
1075,interesting,interessante,adjective
1076,break,"quebra, pausa, ruptura",noun
1077,audience,audiência,noun
1078,rich,rico,adjective
1079,dinner,jantar,noun
1080,to figure,"descobrir, figurar",verb
1081,vote,voto,noun
1082,western,ocidental,adjective
1083,to relate,relatar,verb
1084,to travel,viajar,verb
1085,debate,debate,noun
1086,to prevent,prevenir,verb
1087,citizen,cidadão,noun
1088,majority,a maioria de,noun
1089,none,nenhum,pronoun
1090,front,em frente de,preposition
1091,to be born,nascer,verb
1092,to admit,admitir,verb
1093,senior,sénior ,adjective
1094,to assume,"assumir, presumir",verb
1095,wind,vento,noun
1096,key,chave,adjective
1097,professional,profissional,adjective
1098,mission,missão,noun
1099,fast,rápido,adverb
1100,alone,sozinho,adverb
1101,customer,"cliente, freguês",noun
1102,to suffer,sofrir,verb
1103,speech,"discurso, fala ",noun
1104,successful,bem sucedido,adjective
1105,option,opção,noun
1106,participant,participante,noun
1107,southern,do sul,adjective
1108,fresh,fresco,adjective
1109,eventually,"afinal, eventualmente",adverb
1110,no,nenhum,pronoun
1111,forest,floresta,noun
1112,video,vídeo,noun
1113,global,globar,adjective
1114,Senate,senado,noun
1115,reform,reforma,noun
1116,access,acesso,noun
1117,restaurant,restaurante,noun
1118,judge,juíz,noun
1119,to publish,publicar,verb
1120,to cost,custar,verb
1121,relation,relação,noun
1122,like,como,conjunction
1123,to release,"liberar, soltar ",verb
1124,to own,"possuir, ter",verb
1125,bird,pássaro,noun
1126,opinion,opinião,noun
1127,credit,crédito,noun
1128,critical,crítico,adjective
1129,corner,esquina,noun
1130,concerned,preocupado,adjective
1131,to recall,"recolher, lembrar",verb
1132,version,versão,noun
1133,to stare,compartilhar,verb
1134,safety,segurança,noun
1135,effective,efetivo,adjective
1136,neighborhood,vizinhança,noun
1137,original,original,adjective
1138,act,ato,noun
1139,troop,tropa,noun
1140,income,"renda, rendimento",noun
1141,directly,diretamente,adverb
1142,to hurt,"machucar, prejudicar",verb
1143,species,espécie,noun
1144,immediately,imediatemente,adverb
1145,track,"caminho, trajeto, trajetória",noun
1146,basic,básico,adjective
1147,to strike,"atacar, socar",verb
1148,hope,esperança,noun
1149,sky,céu,noun
1150,freedom,liberdade,noun
1151,absolutely,absolutamente,adverb
1152,plane,avião,noun
1153,nobody,ninguém,pronoun
1154,to achieve,"alcançar, realizar",verb
1155,object,objeto,noun
1156,attitude,atitude,noun
1157,labor,trabalho,noun
1158,to refer,referir-se,verb
1159,concept,conceito,noun
1160,client,cliente,noun
1161,powerful,poderoso,adjective
1162,perfect,perfeito,adjective
1163,nine,nove,number
1164,therefore,por tanto,adverb
1165,to conduct,"conduzir, dirigir",verb
1166,to announce,anunciar,verb
1167,conversation,conversa,noun
1168,to examine,examinar,verb
1169,to touch,tocar,verb
1170,please,por favor,adverb
1171,to attend,"atender, assistir",verb
1172,completely,completamente,adverb
1173,to vote,votar,verb
1174,variety,variedade,noun
1175,to sleep,dormir,verb
1176,turn,"vez, volta, curva",noun
1177,involved,involvido,adjective
1178,investigation,investigação,noun
1179,nuclear,nuclear,adjective
1180,researcher,pesquisador,noun
1181,press,imprensa,noun
1182,conflict,conflito,noun
1183,spirit,espírito,noun
1184,to experience,experimentar,verb
1185,to replace,"substituir, repor, trocar",verb
1186,British,"inglês, britânico",adjective
1187,to encourage,"encorajar, incentivar",verb
1188,argument,argumento,noun
1189,by,por,adverb
1190,once,uma vez,conjunction
1191,camp,"campo, acampamento",noun
1192,brain,cérebro,noun
1193,feature,"característica, aspeto",noun
1194,afternoon,tarde,noun
1195,AM,am,adverb
1196,weekend,fim de semana,noun
1197,dozen,dúzia,number
1198,possibility,possibilidade,noun
1199,along,ao longo de,adverb
1200,insurance,seguro ,noun
1201,department,departamento,noun
1202,battle,"batalha, guerra",noun
1203,beginning,"início, começo",noun
1204,date,data,noun
1205,generally,geralmente,adverb
1206,African,africano,adjective
1207,very,muito,adjective
1208,sorry,desolado,adjective
1209,crisis,crise,noun
1210,to complete,completar,verb
1211,fan,"fã, fanático",noun
1212,to stick,"colar, cravar, enfiar, adherir",verb
1213,to define,definir,verb
1214,easily,facilmente,adverb
1215,through,a través de,adverb
1216,hole,buraco,noun
1217,element,elemento,noun
1218,vision,visão,noun
1219,status,estatus,noun
1220,normal,normal,adjective
1221,Chinese,chinês,adjective
1222,ship,"barco, navio",noun
1223,solution,solução,noun
1224,stone,pedra,noun
1225,slowly,"lentamente, devagar",adverb
1226,scale,escala,noun
1227,bit,um pouco,adverb
1228,university,universidade,noun
1229,to introduce,"apresentar, introduzir",verb
1230,driver,"piloto, motorista",noun
1231,attempt,tentativa,noun
1232,park,parque,noun
1233,spot,"lugar, local",noun
1234,lack,falta de,noun
1235,ice,gelo,noun
1236,boat,barco,noun
1237,to drink,beber,verb
1238,sun,sol,noun
1239,front,"liderando, frente",adjective
1240,distance,distância,noun
1241,wood,madeira,noun
1242,to handle,"lidar, manipular",verb
1243,truck,caminhão,noun
1244,return,volta,noun
1245,mountain,montanha,noun
1246,survey,"pesquisa, avaliação",noun
1247,supposed,suposto,adjective
1248,tradition,tradição,noun
1249,winter,inverno,noun
1250,village,"vila, vilarejo",noun
1251,Soviet,russo,adjective
1252,to refuse,recusar,verb
1253,sales,vendas,noun
1254,to roll,rolar,verb
1255,communication,comunicação,noun
1256,run,corrida,noun
1257,screen,tela,noun
1258,to gain,"ganhar, aumentar",verb
1259,resident,residente,noun
1260,to hide,esconder,verb
1261,gold,oro,noun
1262,club,clube,noun
1263,future,futuro,adjective
1264,farm,fazenda,noun
1265,potential,potencial,adjective
1266,increase,aumento,noun
1267,middle,meio,noun
1268,European,eurpeu,adjective
1269,presence,presença,noun
1270,independent,independente,adjective
1271,district,distrito,noun
1272,shape,"forma, configuração",noun
1273,reader,leitor,noun
1274,Ms,senhorita,noun
1275,contract,contrato,noun
1276,crowd,multidão,noun
1277,Christian,cristão,adjective
1278,to express,expressar,verb
1279,apartment,apartamento,noun
1280,willing,"disposto, com vontade",adjective
1281,strength,força,noun
1282,previous,"prévio, anterior",adjective
1283,band,banda,noun
1284,obviously,obviamente,adverb
1285,horse,cavalo,noun
1286,interested,interessado,adjective
1287,target,alvo,noun
1288,prison,prisão,noun
1289,to ride,"montar, andar…de bike",verb
1290,guard,guarda,noun
1291,terms,termos,preposition
1292,demand,"exigência, demanda",noun
1293,reporter,"repórter, jornalista",noun
1294,to deliver,entregar,verb
1295,text,texto,noun
1296,share,compartilhar,noun
1297,tool,ferramenta,noun
1298,wild,selvagem,adjective
1299,vehicle,veículo,noun
1300,to observe,observar,verb
1301,flight,voo,noun
1302,inside,dentro de,adverb
1303,facility,"facilidade, instalação",noun
1304,understanding,compreensão,noun
1305,average,a média,adjective
1306,to emerge,"surgir, emergir ",verb
1307,advantage,vantagem,noun
1308,quick,rápido,adjective
1309,light,leve,adjective
1310,leadership,liderança,noun
1311,to earn,ganhar,verb
1312,pound,libra…peso,noun
1313,basis,base,noun
1314,bright,brilhoso,adjective
1315,to operate,operar,verb
1316,guest,convidado,noun
1317,sample,amostra,noun
1318,to contribute,contribuir,verb
1319,tiny,pequeno,adjective
1320,block,"bloco, quadra",noun
1321,protection,proteção,noun
1322,to settle,"resolver, decidir",verb
1323,to feed,alimentar,verb
1324,to collect,"colecionar, juntar",verb
1325,additional,adicional,adjective
1326,while,enquanto,noun
1327,highly,altamente,adverb
1328,identity,identidade,noun
1329,title,título,noun
1330,mostly,a maioria de,adverb
1331,lesson,lição,noun
1332,faith,fé,noun
1333,river,rio,noun
1334,to promote,promover,verb
1335,living,modo de vida,noun
1336,present,presente,adjective
1337,to count,contar,verb
1338,unless,a menos que,conjunction
1339,to marry,casar-se com,verb
1340,tomorrow,amanhã,adverb
1341,technique,técnica,noun
1342,path,caminho,noun
1343,ear,"orelha, ouvido",noun
1344,shop,loja,noun
1345,folk,"povo, pessoas",noun
1346,to order,pedir,verb
1347,principle,princípio,noun
1348,to survive,sobreviver,verb
1349,to lift,levantar,verb
1350,border,"borda, fronteira",noun
1351,competition,competição,noun
1352,to jump,"pular, saltar",verb
1353,to gather,juntar,verb
1354,to limit,"limitar, restringir",verb
1355,to fit,caber,verb
1356,claim,afirmação,noun
1357,to cry,chorar,verb
1358,equipment,equipamento,noun
1359,worth,valor,preposition
1360,to associate,associar-se,verb
1361,critic,crítico,noun
1362,warm,"morno, caloroso",adjective
1363,aspect,aspeto,noun
1364,to result,resultar,verb
1365,to insist,insistir,verb
1366,failure,"falha, fracasso",noun
1367,annual,anual,adjective
1368,French,francês,adjective
1369,Christmas,natal,noun
1370,comment,comentário,noun
1371,responsible,responsável,adjective
1372,affair,caso,noun
1373,to approach,aproximar-se,verb
1374,until,até,preposition
1375,procedure,procedimento,noun
1376,regular,regular,adjective
1377,to spread,"espalhar, divulgar",verb
1378,chairman,presidente,noun
1379,baseball,beisbol,noun
1380,soft,"mole, suave, macio",adjective
1381,to ignore,ignorar,verb
1382,egg,ovo,noun
1383,to measure,medir,verb
1384,belief,crença,noun
1385,to demonstrate,demostrar,verb
1386,anybody,qualquer um,pronoun
1387,murder,assassinato,noun
1388,gift,presente,noun
1389,religion,religião,noun
1390,review,"revisão, analise",noun
1391,editor,editor,noun
1392,past,"passado, anterior",preposition
1393,to engage,engajar,verb
1394,coffee,café,noun
1395,document,documento,noun
1396,speed,velocidade,noun
1397,to cross,"cruzar, atravessar",verb
1398,influence,influência,noun
1399,anyway,de qualquer maneira,adverb
1400,to threaten,ameaçar,verb
1401,to commit,"cometer, comprometer-se",verb
1402,female,fêmea,adjective
1403,youth,jóvem,noun
1404,wave,onda,noun
1405,move,mudança,noun
1406,afraid,"com medo, temoso",adjective
1407,quarter,quarto,noun
1408,background,"histórico, fundo",noun
1409,native,nativo,adjective
1410,broad,largo,adjective
1411,wonderful,maravilhoso,adjective
1412,to deny,"negar, recuasr",verb
1413,apparently,aparentemente,adverb
1414,slightly,pouco,adverb
1415,reaction,reação,noun
1416,twice,duas vezes,adverb
1417,suit,"terno, caso, processo",noun
1418,perspective,perspectiva,noun
1419,growing,crescente,adjective
1420,to blow,assoprar,verb
1421,construction,construção,noun
1422,kind,"amigável, amável",adverb
1423,intelligence,inteligência,noun
1424,to destroy,destruir,verb
1425,to cook,cosinhar,verb
1426,connection,conecção,noun
1427,to charge,carregar,verb
1428,to burn,queimar,verb
1429,shoe,sapato,noun
1430,to view,"ver, observar",verb
1431,grade,"grau, classe",noun
1432,context,contexto,noun
1433,committee,"comissão, comitê",noun
1434,hey,oi,u
1435,mistake,"erro, equívoco",noun
1436,focus,foco,noun
1437,smile,sorriso,noun
1438,location,"locação, local",noun
1439,clothes,roupa,noun
1440,Indian,indiano,adjective
1441,quiet,silencioso,adjective
1442,to dress,vestir-se,verb
1443,to promise,prometer,verb
1444,aware,consciente,adjective
1445,neighbor,vizinho,noun
1446,complete,completo,adjective
1447,drive,"caminho, percurso",noun
1448,function,função,noun
1449,bone,osso,noun
1450,active,ativo,adjective
1451,to extend,extender,verb
1452,chief,principal,adjective
1453,average,a média,noun
1454,to combine,"combinar, juntar",verb
1455,wine,vinho,noun
1456,below,"menos, embaixo, abaixo",adverb
1457,cool,"fresco, frio",adjective
1458,voter,"eleitor, votante",noun
1459,mean,a média,noun
1460,to demand,"demandar, exigir",verb
1461,learning,"aprendizagem, conhecimento",noun
1462,bus,ônibus,noun
1463,hell,inferno,noun
1464,dangerous,perigoso,adjective
1465,to remind,lembrar,verb
1466,moral,moral,adjective
1467,United,unido,adjective
1468,category,categoria,noun
1469,relatively,relativamente,adverb
1470,victory,vitória,noun
1471,key,chave,noun
1472,academic,académico,adjective
1473,visit,visita,noun
1474,Internet,internet,noun
1475,healthy,saudável,adjective
1476,to fire,"demitir, mandar embora",verb
1477,negative,nagativo,adjective
1478,following,seguinte,adjective
1479,historical,histórico,adjective
1480,medicine,medicina,noun
1481,tour,"tour, passeio",noun
1482,to depend,depender,verb
1483,photo,foto,noun
1484,finding,"resultado, descoberta",noun
1485,to grab,"apanhar, pegar, agarrar",verb
1486,direct,direto,adjective
1487,classroom,sala de aula,noun
1488,contact,contato,noun
1489,justice,justiça,noun
1490,to participate,participar,verb
1491,daily,diariamente,adjective
1492,fair,justo,adjective
1493,pair,par,noun
1494,famous,famoso,adjective
1495,exercise,exercício,noun
1496,knee,joelho,noun
1497,flower,flor,noun
1498,tape,"fita adhesiva, gravação",noun
1499,to hire,contratar,verb
1500,familiar,familiar ,adjective
1501,appropriate,apropriado,adjective
1502,supply,"fornecimento, suprimento",noun
1503,fully,"completamente, totalmente",adverb
1504,cut,"corte, ferida",noun
1505,will,vontade,noun
1506,actor,ator,noun
1507,birth,nascimento,noun
1508,search,busca,noun
1509,to tie,"amarrar, atar",verb
1510,democracy,democracia,noun
1511,eastern,oriental,adjective
1512,primary,"primário, principal",adjective
1513,yesterday,ontem,adverb
1514,circle,círculo,noun
1515,device,dispositivo,noun
1516,progress,progresso,noun
1517,next,próximo,preposition
1518,front,frente,noun
1519,bottom,fundo,noun
1520,island,ilha,noun
1521,exchange,troca,noun
1522,clean,limpo,adjective
1523,studio,estúdio,noun
1524,to train,"treinar, praticar",verb
1525,lady,mulher,noun
1526,colleague,colega,noun
1527,application,aplicação,noun
1528,neck,pescoço,noun
1529,to lean,aprender,verb
1530,damage,"dano, prejuízo",noun
1531,plastic,plástico,noun
1532,tall,alto,adjective
1533,plate,prato,noun
1534,to hate,odiar,verb
1535,otherwise,de outro modo,adverb
1536,writing,escritura,noun
1537,to press,"apertar, prensar",verb
1538,male,"macho, masculino",adjective
1539,start,"início, começo",noun
1540,alive,vivo,adjective
1541,expression,expressão,noun
1542,football,futebol,noun
1543,to intend,pretender,verb
1544,to attack,atacar,verb
1545,chicken,"galinha, frango",noun
1546,army,exército,noun
1547,abuse,abuso,noun
1548,theater,teatro,noun
1549,to shut,fechar,verb
1550,map,mapa,noun
1551,extra,extra,adjective
1552,session,sessão,noun
1553,danger,perigo,noun
1554,to welcome,"acolher, receber",verb
1555,domestic,doméstico,adjective
1556,lots,muitos,pronoun
1557,literature,literatura,noun
1558,rain,chuva,noun
1559,desire,desejo,noun
1560,assessment,avaliação,noun
1561,injury,"lesão, prejuízo, injuria",noun
1562,respect,respeito,noun
1563,northern,do norte,adjective
1564,to nod,abanar,verb
1565,to paint,pintar,verb
1566,fuel,combustível,noun
1567,leaf,folha,noun
1568,to direct,"direcionar, dirigir",verb
1569,dry,seco,adjective
1570,Russian,russo,adjective
1571,instruction,instrução,noun
1572,fight,"briga, luta",noun
1573,pool,piscina,noun
1574,to climb,"escalar, subir ",verb
1575,sweet,doce,adjective
1576,lead,liderança,noun
1577,engine,motor,noun
1578,fourth,quarto,number
1579,salt,sal,noun
1580,to expand,"expandir, aumentar",verb
1581,importance,importância,noun
1582,metal,metal,noun
1583,fat,gordo,noun
1584,ticket,bilhete,noun
1585,software,software,noun
1586,to disappear,desaparecer,verb
1587,corporate,corporativo,adjective
1588,strange,estranho,adjective
1589,lip,lábio,noun
1590,reading,leitura,noun
1591,urban,urbano,adjective
1592,mental,mental,adjective
1593,increasingly,cada vez mais,adverb
1594,lunch,almoço,noun
1595,educational,educacional,adjective
1596,somewhere,algum lugar,adverb
1597,farmer,"fazendeiro, agricultor",noun
1598,above,acima de,adverb
1599,sugar,açúcar,noun
1600,planet,planeta,noun
1601,favorite,favorito,adjective
1602,to explore,explorar,verb
1603,to obtain,obter,verb
1604,enemy,inimigo,noun
1605,greatest,o melhor,adjective
1606,complex,complexo,adjective
1607,to surround,cercar,verb
1608,athlete,atleta,noun
1609,to invite,convidar,verb
1610,to repeat,repetir,verb
1611,carefully,"cuidadosamente, com cuidado",adverb
1612,soul,alma,noun
1613,scientific,científico,adjective
1614,impossible,impossível,adjective
1615,panel,painel,noun
1616,meaning,significado,noun
1617,mom,mãe,noun
1618,married,casado,adjective
1619,alone,sozinho,adjective
1620,instrument,instrumento,noun
1621,to predict,prever,verb
1622,weather,"clima, tempo",noun
1623,presidential,presidencial,adjective
1624,emotional,emocional,adjective
1625,commitment,"comprometimento, compromisso",noun
1626,Supreme,supremo,adjective
1627,to bear,aguentar,verb
1628,pocket,bolso,noun
1629,thin,afinar,adjective
1630,temperature,temperatura,noun
1631,surprise,surpresa,noun
1632,poll,enquete,noun
1633,proposal,proposta,noun
1634,consequence,consequência,noun
1635,half,metade,noun
1636,breath,respiração,noun
1637,sight,visão,noun
1638,cover,tampa,noun
1639,balance,saldo,noun
1640,to adopt,adotar,verb
1641,minority,minoria,noun
1642,straight,"direto, reto",adverb
1643,to attempt,tentar,verb
1644,to connect,conectar,verb
1645,works,"trabalhos, projetos",noun
1646,teaching,ensino,noun
1647,to belong,pertencer,verb
1648,aid,ajuda,noun
1649,advice,conselho,noun
1650,okay,ok,adverb
1651,photograph,fotografia,noun
1652,empty,vazio,adjective
1653,regional,regional,adjective
1654,trail,trilha,noun
1655,novel,novela,noun
1656,code,código,noun
1657,somehow,de alguma forma,adverb
1658,to organize,organizar,verb
1659,jury,júri,noun
1660,breast,"seio, peito",noun
1661,Iraqi,iraquiano,adjective
1662,human,humano,noun
1663,to acknowledge,reconhecer,verb
1664,theme,tema,noun
1665,storm,tempestade,noun
1666,union,união,noun
1667,to record,gravar,verb
1668,desk,escrivaninha,noun
1669,to fear,temer,verb
1670,thanks,"obrigado, graças",noun
1671,fruit,fruta,noun
1672,under,sob,adverb
1673,expensive,caro,adjective
1674,yellow,amarelo,adjective
1675,conclusion,conclusão,noun
1676,prime,"o melhor, de primeira",adjective
1677,shadow,sombra,noun
1678,to struggle,lutar,verb
1679,to conclude,concluir,verb
1680,analyst,analista,noun
1681,dance,dança,noun
1682,limit,limite,noun
1683,like,como,adjective
1684,regulation,regulamento,noun
1685,being,ser,noun
1686,to last,durar,verb
1687,ring,anel,noun
1688,largely,"principalmente, amplamente",adverb
1689,to shift,"mudar, trocar",verb
1690,revenue,receita,noun
1691,to mark,marcar,verb
1692,to locate,localizar,verb
1693,county,município,noun
1694,appearance,aparência,noun
1695,package,pacote,noun
1696,difficulty,dificuldade,noun
1697,bridge,ponte,noun
1698,to recommend,recomendar,verb
1699,obvious,óbvio,adjective
1700,train,"trem, comboio",noun
1701,basically,basicamente,adverb
1702,e-mail,email,noun
1703,to generate,gerar,verb
1704,anymore,não...mais,adverb
1705,to propose,propor,verb
1706,thinking,pensamento,noun
1707,possibly,possivelmente,adverb
1708,trend,tendência,noun
1709,visitor,visitante,noun
1710,loan,empréstimo,noun
1711,currently,atualmente,adverb
1712,comfortable,confortável,adjective
1713,investor,investidor,noun
1714,but,mas,preposition
1715,profit,lucro,noun
1716,angry,nervoso,adjective
1717,crew,"equipe, time",noun
1718,deep,profundo,adverb
1719,accident,acidente,noun
1720,male,macho,noun
1721,meal,refeição,noun
1722,hearing,audição,noun
1723,traffic,"tráfego, tránsito",noun
1724,muscle,músculo,noun
1725,notion,noção,noun
1726,to capture,capturar,verb
1727,to prefer,preferir,verb
1728,truly,verdadeiramente,adverb
1729,earth,terra,noun
1730,Japanese,japonês,adjective
1731,chest,peito,noun
1732,to search,procurar,verb
1733,thick,grosso,adjective
1734,cash,dinheiro,noun
1735,museum,museu,noun
1736,beauty,beleza,noun
1737,emergency,emergência,noun
1738,unique,"exclusivo, único",adjective
1739,to feature,apresentar,verb
1740,internal,interno,adjective
1741,ethnic,étnico,adjective
1742,to link,"vincular, lincar, unir",verb
1743,stress,estresse,noun
1744,content,contente,noun
1745,to select,selecionar,verb
1746,root,raiz,noun
1747,nose,nariz,noun
1748,to declare,declarar,verb
1749,outside,do lado de fora de,adverb
1750,to appreciate,apreciar,verb
1751,actual,real,adjective
1752,bottle,garrafa,noun
1753,hardly,dificilmente,adverb
1754,setting,contexto,noun
1755,to launch,lançar,verb
1756,dress,vestido,noun
1757,file,arquivo,noun
1758,sick,doente,adjective
1759,outcome,resultado,noun
1760,ad,anúncio,noun
1761,to defend,defender,verb
1762,to matter,importar,verb
1763,to judge,julgar,verb
1764,duty,dever,noun
1765,sheet,folha,noun
1766,ought,dever,verb
1767,to ensure,garantir,verb
1768,Catholic,católico,adjective
1769,extremely,extremamente,adverb
1770,extent,extensão,noun
1771,component,componente,noun
1772,to mix,misturar,verb
1773,long-term,de longo prazo,adjective
1774,slow,devagar,adjective
1775,contrast,contraste,noun
1776,zone,zona,noun
1777,to wake,acordar,verb
1778,to challenge,desafiar,verb
1779,airport,aeroporto,noun
1780,chief,chefe,noun
1781,brown,castanho,adjective
1782,standard,padrão,adjective
1783,shirt,camisa,noun
1784,pilot,piloto,noun
1785,to warn,avisar,verb
1786,ultimately,em última análise,adverb
1787,cat,gato,noun
1788,contribution,contribuição,noun
1789,capacity,capacidade,noun
1790,ourselves,nós mesmos,pronoun
1791,estate,estado,noun
1792,guide,guia,noun
1793,circumstance,circunstância,noun
1794,snow,neve,noun
1795,English,inglês,adjective
1796,politician,político,noun
1797,to steal,roubar,verb
1798,to pursue,perseguir,verb
1799,to slip,escorregar,verb
1800,percentage,percentagem,noun
1801,meat,carne,noun
1802,funny,engraçado,adjective
1803,neither,nem,adverb
1804,soil,solo,noun
1805,to influence,influenciar,verb
1806,surgery,cirurgia,noun
1807,correct,correto,adjective
1808,Jewish,judaico,adjective
1809,to blame,culpar,verb
1810,to estimate,estimar,verb
1811,due,vencimento,preposition
1812,basketball,basquetebol,noun
1813,late,atrasado,adverb
1814,golf,golfe,noun
1815,to investigate,investigar,verb
1816,crazy,louco,adjective
1817,significantly,significativamente,adverb
1818,chain,"cadeia, corrente",noun
1819,address,"endereço, morada",noun
1820,branch,"ramo, agência",noun
1821,combination,combinação,noun
1822,just,"somente, apenas",adjective
1823,frequently,freqüentemente,adverb
1824,governor,governador,noun
1825,relief,alívio,noun
1826,user,do utilizador,noun
1827,dad,papai,noun
1828,to kick,chutar,verb
1829,part,papel,adverb
1830,manner,"maneira, jeito",noun
1831,ancient,"antigo, ancestral",adjective
1832,silence,silêncio,noun
1833,rating,avaliação,noun
1834,golden,dourado,adjective
1835,motion,movimento,noun
1836,German,alemão,adjective
1837,gender,gênero sexual,noun
1838,to solve,resolver,verb
1839,fee,taxa,noun
1840,landscape,paisagem,noun
1841,used,usado,adjective
1842,bowl,tigela,noun
1843,equal,igual,adjective
1844,long,grandes,conjunction
1845,official,oficial,adjective
1846,forth,para frente,adverb
1847,frame,"quadro, armação",noun
1848,typical,típica,adjective
1849,except,exceto,preposition
1850,conservative,conservador,adjective
1851,to eliminate,eliminar,verb
1852,host,hospedeiro,noun
1853,hall,salão,noun
1854,to trust,confiar,verb
1855,ocean,oceano,noun
1856,to score,pontuar,verb
1857,row,fila,noun
1858,producer,produtor,noun
1859,to afford,pagar,verb
1860,meanwhile,enquanto,adverb
1861,regime,regime,noun
1862,division,divisão,noun
1863,to confirm,confirmar,verb
1864,to fix,consertar,verb
1865,appeal,apelo,noun
1866,mirror,espelho,noun
1867,tooth,dente,noun
1868,smart,"inteligente, esperto",adjective
1869,length,comprimento,noun
1870,entirely,inteiramente,adverb
1871,to rely,confiar,verb
1872,topic,"tema, tópico",noun
1873,to complain,reclamar,verb
1874,to issue,emitir,verb
1875,variable,variável,noun
1876,to back,apoiar,verb
1877,to range,variar,verb
1878,telephone,telefone,noun
1879,perception,percepção,noun
1880,to attract,atrair,verb
1881,confidence,confiança,noun
1882,bedroom,quarto de dormir,noun
1883,secret,segredo,noun
1884,debt,dívida,noun
1885,rare,cru,adjective
1886,his,"seu, dele",pronoun
1887,tank,tanque,noun
1888,nurse,enfermeira,noun
1889,coverage,cobertura,noun
1890,opposition,oposição,noun
1891,aside,"a parte, de lado",adverb
1892,anywhere,qualquer lugar,adverb
1893,bond,vinculo,noun
1894,to file,arquivar,verb
1895,pleasure,prazer,noun
1896,master,mestre,noun
1897,era,era,noun
1898,requirement,requerimento,noun
1899,check,verifica,noun
1900,stand,ficar de pé,noun
1901,fun,diversão,noun
1902,expectation,expectativa,noun
1903,wing,asa,noun
1904,separate,separado,adjective
1905,now,agora,conjunction
1906,to clear,limpar,verb
1907,struggle,luta,noun
1908,mean,malvado,adjective
1909,somewhat,"de alguma forma, um pouco",adverb
1910,to pour,derramar,verb
1911,to stir,mexer,verb
1912,judgment,julgamento,noun
1913,to clean,limpar,verb
1914,except,exceto,conjunction
1915,beer,cerveja,noun
1916,English,inglês,noun
1917,reference,referência,noun
1918,tear,rasgar,noun
1919,doubt,dúvida,noun
1920,to grant,conceder,verb
1921,seriously,"seriamente, a sério",adverb
1922,to account,"prestar contas, explicar",verb
1923,minister,ministro,noun
1924,totally,totalmente,adverb
1925,hero,herói,noun
1926,industrial,industrial,adjective
1927,cloud,nuvem,noun
1928,to stretch,esticar,verb
1929,winner,vencedora,noun
1930,volume,volume,noun
1931,travel,viajar,noun
1932,seed,semente,noun
1933,surprised,surpreso,adjective
1934,to rest,descansar,verb
1935,fashion,moda,noun
1936,pepper,pimenta,noun
1937,to separate,separar,verb
1938,busy,ocupado,adjective
1939,intervention,intervenção,noun
1940,copy,cópia,noun
1941,tip,gorjeta,noun
1942,below,abaixo,preposition
1943,cheap,barato,adjective
1944,to aim,mirar,verb
1945,to cite,citar,verb
1946,welfare,bem-estar,noun
1947,vegetable,vegetal,noun
1948,gray,cinza,adjective
1949,dish,prato,noun
1950,beach,praia,noun
1951,improvement,melhoria,noun
1952,everywhere,em todos os lugares,adverb
1953,opening,abertura,noun
1954,overall,no geral,adjective
1955,to divide,dividir,verb
1956,initial,inicial,adjective
1957,terrible,terrível,adjective
1958,to oppose,se opor,verb
1959,contemporary,contemporâneo,adjective
1960,route,rota,noun
1961,multiple,múltiplo,adjective
1962,essential,essencial,adjective
1963,to question,questionar,verb
1964,league,liga,noun
1965,criminal,criminoso,adjective
1966,careful,cuidadoso,adjective
1967,core,núcleo,noun
1968,upper,"superior, de cima",adjective
1969,to rush,apressar,verb
1970,necessarily,necessariamente,adverb
1971,specifically,especificamente,adverb
1972,tired,cansado,adjective
1973,rise,"aumento, ascenção",noun
1974,tie,gravata,noun
1975,to employ,empregar,verb
1976,holiday,feriado,noun
1977,to dance,dançar,verb
1978,vast,"vasto, grande",adjective
1979,resolution,resolução,noun
1980,household,casa,noun
1981,fewer,menos,determiner
1982,abortion,aborto,noun
1983,apart,separado,adverb
1984,witness,testemunha,noun
1985,to match,combinar,verb
1986,barely,por muito pouco,adverb
1987,sector,setor,noun
1988,representative,representante,noun
1989,to lack,faltar,verb
1990,beneath,abaixo,preposition
1991,beside,ao lado,preposition
1992,black,preto,noun
1993,incident,incidente,noun
1994,limited,limitado,adjective
1995,proud,orgulhoso,adjective
1996,flow,fluxo,noun
1997,faculty,faculdade,noun
1998,increased,aumentou,adjective
1999,waste,desperdício,noun
